lpa_name,uprn,decision_date,application_type_full,id,postcode,valid_date,description,last_updated,ward,lapsed_date,decision_target_date,lpa_app_no,status,site_name,url_planning_app,development_type,decision_process,decision_agency,last_synced,site_number,application_type,street_name,cil_liability,borough,decision,application_details_building_details,application_details_site_area,application_details_non_residential_details_site_area,application_details_non_residential_details_total_non_resi_gross_internal_floor_area_to_be_lost,application_details_non_residential_details_total_gia_gained,application_details_non_residential_details_total_gia_lost,application_details_non_residential_details_total_non_resi_gross_internal_floor_area_to_be_gained,is_full_planning,floorspace_details_combined
Barking & Dagenham,100101450,12/09/2018,Full planning permission,Barking_&_Dagenham-18_00161_FUL,,05/02/2018,"Erection of two data centre buildings (Use Class B8), with ancillary plant, offices, gatehouse, electrical sub-stations, fuel storage, car parking, site fencing, landscaping and other associated works.",2025-03-20T18:57:14.569+00:00,Eastbrook,12/09/2023,07/05/2018,18/00161/FUL,Lapsed,London East Business And Technical Park,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=getApplication&id=15772,Major offices-R and D-light industry,Committee,,2025-04-09T06:10:28.578Z,,All Other,YEWTREE AVENUE,True,London Borough of Barking and Dagenham,Approved,,0.0,,0.0,0.0,0.0,52797.0,True,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'B2', 'gia_gained': 0, 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'B8', 'gia_gained': 52797, 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bexley,010011862607,02/10/2023,Full planning permission,Bexley-23_00960_FUL,DA8 1EW,27/04/2023,"Installation of 8 new dry coolers, a generator, transformer, plant container and associated works and pond to the existing data centre.",2025-03-19T22:26:55.098+00:00,ERITHN,02/10/2026,22/06/2023,23/00960/FUL,Approved,Unit 8,,,,,2025-04-09T04:22:46.653Z,,All Other,Viking Way,False,London Borough of Bexley,Approved,,0.03,,0.0,0.0,0.0,0.0,True,"[""{'gia_existing': 4104, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'B8', 'gia_gained': 0, 'actual_commencement_date': None, 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Bromley,010003628052,03/04/2020,,Bromley-19_04182_FULL1,BR5 2UB,25/11/2019,Alterations and additions to existing building including replacement roof and wall cladding to facilitate a data/records processing/management centre (Mixed Use Class B1/B2/B8) - similar development as approved for replacement building under DC/18/03419/FULL1,2025-03-21T01:29:34.314+00:00,CRAYVE,03/04/2023,20/01/2020,19/04182/FULL1,Approved,Stanbridge Limited,,,Delegated,,2025-04-09T05:07:18.438Z,,All Other,Cray Valley Road,False,LB Bromley,Approved,,0.149,,,,,,True,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Camden,5057038,23/07/2012,Full planning permission,Camden-2012_2752_P,NW1 8QU,30/05/2012,Use of ground floor retail unit (Class A1) as an internet cafe and data-controlled administrative booking office for private hire vehicles (Sui Generis) (Retrospective).,2025-04-25T10:35:39.810Z,Camden Town with Primrose Hill (Pre May 2022),23/07/2015,25/07/2012,2012/2752/P,Commenced,Former 4,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2012/2752/P,Minor all other minor developments,Delegated,Borough,2025-05-11T01:43:12.171Z,4,All Other,Castlehaven Road,False,Camden,Approved,"[{'no_storeys': None, 'building_ref': None}]",,0.002,26.0,26.0,26.0,26.0,True,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': None, 'use_class': 'A1', 'gia_gained': 0, 'actual_commencement_date': '23/07/2012', 'superseded_by_lpa_app_no': None, 'gia_lost': 26}"", ""{'gia_existing': 0, 'superseded_date': None, 'actual_completion_date': '23/07/2012', 'use_class': 'SG', 'gia_gained': 26, 'actual_commencement_date': '23/07/2012', 'superseded_by_lpa_app_no': None, 'gia_lost': 0}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Camden,5083689,07/02/2024,Full planning permission,Camden-2022_3535_P,WC1E 7HB,17/08/2022,"Temporary change of use for a period of up to 10 years for flexible office E(g)(i) and education F1(a) (excluding retail and other commercial units on Tottenham Court Road frontage, the data centre at basement and part ground floor levels and the UKPN substation).",2025-11-10T10:18:05.515Z,Bloomsbury,07/02/2027,07/02/2024,2022/3535/P,Commenced, ,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/DisplayAppDetails.aspx?AppNo=2022/3535/P,Major all other major developments,Delegated,Borough,2025-11-18T07:49:10.539Z,1,All Other,Torrington Place,False,Camden,Approved,"[{'no_storeys': 0.0, 'max_height': 0.0, 'building_ref': '0'}]",0.4105,0.4105,0.0,0.0,0.0,0.0,True,"[""{'gia_existing': 10189.0, 'gia_gained': 0.0, 'use_class': 'B1a', 'actual_commencement_date': '01/09/2024', 'gia_lost': 0.0}"", ""{'gia_existing': 3507.0, 'gia_gained': 0.0, 'use_class': 'D1', 'actual_commencement_date': '01/09/2024', 'gia_lost': 0.0}"", ""{'gia_existing': 3198.0, 'gia_gained': 0.0, 'use_class': 'SpecifiedOther', 'actual_commencement_date': '01/09/2024', 'gia_lost': 0.0}"", nan, nan, nan, nan, nan, nan, nan, nan]"
Croydon,010014056602,12/04/2019,,Croydon-19_00539_FUL,CR0 4RR,27/02/2019,"Erection of an outbuilding to provide an external electrical switchroom for the existing data centre, installation of plant access doors, landing platform, and replacement extraction units, associated alterations",2025-05-09T14:46:02.960Z,WA18,12/04/2022,24/04/2019,19/00539/FUL,Approved,"Unit 1 
35 Imperial Way
Croydon
CR0 4RR",,,Delegated,,2025-05-25T01:42:51.795Z,,All Other,,False,London Borough of Croydon,Approved,,0.422,,0.0,,,0.0,True,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Ealing,000012130533,28/01/2015,,Ealing-PP_2014_5423,W3 0TA,07/10/2014,"Variation of condition 2 (Approved Plans), condition 16 (Cycle Spaces), condition 17 (Car Parking), Condition 23 (Energy Report) and Condition 25 (Photovoltaic Panels) to account for a minor material amendment including changes to the proposed feature cladding to the hotel, increasing the number of guest rooms from 158 to 168, a revision to the entrance area and canopy, introduction of roof top plant, introduction of clad plant boxed and minor revisions to the car park layout to planning permission P/2011/3529 dated 04/07/012 for the  Hybrid Planning Permission for the Demolition of the existing buildings on the site and full planning permission for the development of a part one/part seven storey building to create a 158 bedroom hotel (C1 use class) with a total Gross Internal Area (GIA) of 6850 square metres on the western part of the site fronting onto the A40 Western Avenue and Masons Green Lane, with associated parking, public realm improvements and landscaping. Redevelopment of remainder of the site (0.4 hectares) to provide employment uses, comprising of an indicative office (B1 use class) and associated landscaping, public realm improvements, car and cycle parking, with an approximate GIA of 1870 square metres and an indicative Data Entry Centre (B8 use) and associated landscaping, car and cycle parking with an approximate GIA of 4980 square metres located towards the rear of the site (Outline Planning Permission - Access being sought with Layout, Scale, Appearance and landscaping matters to be reserved)
",2025-03-20T11:49:34.551+00:00,North Acton,28/01/2018,26/01/2015,PP/2014/5423,Approved,628 Western Avenue,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2014/5423;,Major all other major developments,Delegated,Borough,2025-04-09T03:07:35.781Z,,All Other,Western Avenue,True,Ealing,Approved,,,,,,,,False,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Ealing,000012130533,25/07/2012,,Ealing-P_2011_3529,W3 0TA,18/08/2011,"Hybrid Planning Permission for the Demolition of the existing buildings on the site and full planning permission for the development of a part one/part seven storey building to create a 158 bedroom hotel (C1 use class) with a total Gross Internal Area (GIA) of 6850 square metres on the western part of the site fronting onto the A40 Western Avenue and Masons Green Lane, with associated parking, public realm improvements and landscaping. Redevelopment of remainder of the site (0.4 hectares) to provide employment uses, comprising of an indicative office (B1 use class) and associated landscaping, public realm improvements, car and cycle parking, with an approximate GIA of 1870 square metres and an indicative Data Entry Centre (B8 use) and associated landscaping, car and cycle parking with an approximate GIA of 4980 square metres located towards the rear of the site (Outline Planning Permission - Access being sought with Layout, Scale, Appearance and landscaping matters to be reserved).
",2025-03-20T15:54:47.480+00:00,East Acton,25/07/2015,17/11/2011,P/2011/3529,Approved,628 Western Avenue,https://pam.ealing.gov.uk/online-applications/PLAN/P/2011/3529;,Major all other major developments,Committee,Borough,2025-04-08T07:36:04.140Z,,All Other,Western Avenue,True,Ealing,Approved,,1.453,,,,,,True,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Ealing,12175306,13/01/2009,Full planning permission,Ealing-P_2008_3284,W5 2RJ,28/08/2008,"Erection of part 5, 6 and 9 storey building with mezzanine floor and basement to form 165 bed hotel with ancillary restaurant/bar and 3434 square metres of B1(a) data centre/office accommodation; alteration to western vehicular access and closure of eastern vehicular access; provision of 39 car parking spaces (including 14 disabled spaces); cycle parking, loading bay and associated landscaping",2025-03-19T02:58:45.784+00:00,Ealing Broadway,13/01/2012,26/11/2008,P/2008/3284,Completed,22 -24 Uxbridge Road,https://pam.ealing.gov.uk/online-applications/PLAN/P/2008/3284;,Major all other major developments,Committee,Borough,2025-04-08T07:42:04.520Z,22-24,All Other,Uxbridge Road,,Ealing,Approved,"[{'no_storeys': None, 'building_ref': None}]",0.3410000000000001,0.33,2432.0,3434.0,1216.0,6868.0,True,"[""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': '14/05/2012', 'use_class': 'B1', 'gia_gained': 3434, 'actual_commencement_date': '13/01/2009', 'superseded_by_lpa_app_no': None, 'gia_lost': 1216}"", ""{'gia_existing': -1, 'superseded_date': None, 'actual_completion_date': '14/05/2012', 'use_class': 'B1a', 'gia_gained': 3434, 'actual_commencement_date': '13/01/2009', 'superseded_by_lpa_app_no': None, 'gia_lost': 1216}"", nan, nan, nan, nan, nan, nan, nan, nan, nan]"
Ealing,000012141021,27/03/2015,,Ealing-PP_2015_0516,NW10 6PW,30/01/2015,Construction of 280sqm extension to existing building for use as additional data space linked to the existing building by a high level service bridge (involving the removal of 12 car parking spaces and the relocation of the existing waste compound to the eastern site boundary),2025-03-20T15:41:22.454+00:00,East Acton,27/03/2018,27/03/2015,PP/2015/0516,Approved,Unit 1,https://pam.ealing.gov.uk/online-applications/PLAN/PP/2015/0516;,Minor Offices-R and D-light industry,Delegated,Borough,2025-04-08T08:18:14.558Z,,All Other,Volt Avenue,True,Ealing,Approved,,,,,,,,True,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
